Title,Topic,Date,Year,Abs,WORD_COUNT
Epistemic spillovers: Learning others' political views reduces the ability to assess and use their expertise in nonpolitical domains.,Cognition,2019-Jul,2019,"On political questions, many people prefer to consult and learn from those whose political views are similar to their own, thus creating a risk of echo chambers or information cocoons. We test whether the tendency to prefer knowledge from the politically like-minded generalizes to domains that have nothing to do with politics, even when evidence indicates that politically like-minded people are less skilled in those domains than people with dissimilar political views. Participants had multiple opportunities to learn about others' (1) political opinions and (2) ability to categorize geometric shapes. They then decided to whom to turn for advice when solving an incentivized shape categorization task. We find that participants falsely concluded that politically like-minded others were better at categorizing shapes and thus chose to hear from them. Participants were also more influenced by politically like-minded others, even when they had good reason not to be. These results replicate in two independent samples. The findings demonstrate that knowing about others' political views interferes with the ability to learn about their competency in unrelated tasks, leading to suboptimal information-seeking decisions and errors in judgement. Our findings have implications for political polarization and social learning in the midst of political divisions.",199
Affective Ties That Bind: Investigating the Affordances of Social Networking Sites for Commemoration of Traumatic Events,SOCIAL SCIENCE COMPUTER REVIEW,Jun 2019,2019,"Social networking sites (SNSs) facilitate self-expression and promote social connections. There has been growing scholarly attention to the affect-charged collectivities created online in the aftermath of disasters and mass traumas. This study was designed to examine how individuals affiliate in SNS-based commemoration of a mass trauma, taking advantage of a large Weibo (the Chinese equivalent of Twitter) data set which captures users' responses over 4 years to the anniversary of the Nanjing massacre, a major traumatic event in Chinese history. Machine learning-based content analysis was combined with dyadic-level network analysis to examine the content Weibo users create and the conversational structures they formed. The results reveal that homophily, geographic proximity, and preferential attachment work in tandem with displays of emotion to influence the formation of online conversational ties. Expressions of negative emotions were found to facilitate or inhibit the homophily effect. Being exposed to the display of anger amplifies the homophily effect among the users, while sadness weakens it. The findings point to the importance of examining specific emotions rather than global (positive-negative) feelings in understanding the dynamics of SNS-based interaction.",181
"Sociocultural, economic and ethnic homogeneity in residential mobility and spatial sorting among couples",ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,Jun 2019,2019,"This study aims to advance the spatial conceptualization of 'social homophily' by relating the match, or mismatch, between a household's social and sociocultural characteristics and the characteristics of the neighbourhood of residence to the probability of moving away from that neighbourhood. Three matching dimensions were investigated: economic status, ethnic background and sociocultural disposition. This paper's focus is on the sociocultural dimension because this has not been included extensively in large-scale research so far. Initially we investigate how level of education at the household level interacts with education composition at the neighbourhood level. To further investigate the sociocultural dimension, we then include the share of each partner's income in the total household income in our analyses. Based on the spatial literature at the intersections of class, gender and family, we assume that, together with higher education, the intra-household distribution of income reflects a broader set of sociocultural values. We make use of large-N register data to analyse the residential and mobility behaviour of all registered stable couples in the four largest Dutch urban regions between 2008 and 2009. Our analyses indicate that the degree to which a household 'matches' its social surroundings negatively affects its probability of leaving. This is the case for all three dimensions, with sociocultural disposition having the largest effect. The conclusion reflects on the importance of these findings for social homophily, sorting and residential segregation, and proposes directions for further research.",234
"Examining similarities in eating pathology, negative affect, and perfectionism among peers: A social network analysis",APPETITE,Jun 1 2019,2019,"Friends tend to be more similar than non-friends (i.e., exhibit homophily) in body image concerns and disordered eating behaviors. These similarities may be accounted for by similarities in eating disorder risk factors and correlates. The current study sought to replicate findings of homophily for eating pathology using social network analysis and to test if similarity in eating pathology is present above and beyond homophily for eating disorder risk factors and correlates. College students (n = 89) majoring in nutrition completed a social network assessment and measures of eating pathology (i.e., body dissatisfaction, binge eating, restricting, excessive exercise), negative affect, and perfectionism. Homophily for eating pathology, negative affect, and perfectionism were tested as predictors of friendship ties using exponential random graph modeling, adjusting for gender, year in school, and body mass index. Results did not support homophily for eating pathology. However, restricting was associated with a lower likelihood of friendship ties. Homophily was present for perfectionism, but not for negative affect. Results suggest that eating pathology may influence the propensity to form friendships and account for previous findings of homophily in the literature. Homophily for perfectionism may have also driven previous findings for homophily. More longitudinal work using social network analysis is needed to understand the role that personality plays in peer influences on eating pathology.",234
Early prediction of the outcome of Kickstarter campaigns: is the success due to virality?,PALGRAVE COMMUNICATIONS,May 14 2019,2019,"The spread of information, opinions, preferences, and behavior across social media is a crucial feature of the current functioning of our economy, politics, and culture. One of the emerging channels for spreading social collective action and funding of novelty in all these domains is Crowdfunding on various platforms such as Kickstarter, Indiegogo, Sellaband, and may others. The exact spreading mechanism of this collective action is not well-understood. The general belief is that virality plays a crucial role. Namely, the common hypothesis is that the information or behavior propagates through individuals affecting one another, presumably, through the links connecting them in social networks. The aim of our study is to find out the actual spreading mechanism in one particular case: spread of financial support for individual Kickstarter campaigns. To our surprise, our studies show that ""virality"" plays here only a minor role. We used this result to construct a simple behavior-grounded stochastic predictor of the success of Kickstarter campaigns which is not based on the viral mechanism. The crucial feature of the model underlying the prediction algorithm is that the success of a campaign depends less on the backers influencing one another (""virality"") but rather on the campaign appealing to a particular class of high-pledge backers. This appeal is usually revealed at the very beginning of the campaign and it is an excellent success predictor. The case of Kickstarter is consistent with a recently proposed generic hypothesis that popularity in social media arises more from independent responses by individuals belonging to a large homophily class rather than from percolation, self-exciting processes, and other cooperative mechanisms resulting from mutual influence between individuals. Thus, the very concept of ""virality"", which implies contagion between participating individuals, plays only a minor role in the success mechanism proposed hereby. A more appropriate term for the mechanism underlying the social success in our model could be ""social appeal"" or ""social fitness"".",314
Inequality Beyond Networking: Personal Networks and Mobilization of Contacts by Young Job Seekers in Barcelona,REVISTA ESPANOLA DE SOCIOLOGIA,May 2019,2019,"How young job seekers mobilize their contacts in the labour market? We look at mobilization of personal networks of young adults in Barcelona. We consider the strength of ties and status homophily as mechanisms of personal networks as for the consolidation of social capital. Our qualitative analysis of 18 interviews with job seekers explores their personal networks and labour market trajectories. We applied Social Network Analysis (SNA). Our analysis of social capital indicates the existence of a relation between the cultural and economic capitals of job seekers and the compositional features of their networks. Results show how networks are similarly heterogeneous in terms of strength of ties, and mostly homophilous in educational levels. But these similarities in terms of social capital come with sharp inequalities in the patterns of mobilized contacts and their success in finding a job. These differences can be explained by the type and volume of capitals of job seekers. Those with better positions in the social structure and stable trajectories seem to mobilize fewer contacts more efficiently, getting better outcomes.",174
The Dark Side of Deeply Meaningful Work: Work-Relationship Turmoil and the Moderating Role of Occupational Value Homophily,JOURNAL OF MANAGEMENT STUDIES,May 2019,2019,"How are close personal relationships experienced by people in deeply meaningful work? Drawing upon in-depth interview data with 82 international aid workers, I offer three distinct contributions. First, I find that people who experience their work as deeply meaningful have high work devotion. I identify boundary inhibition as a mechanism to explain why they participate more willingly in overwork and erratic work, despite giving rise to time- and trust-based conflict in their relationships. Second, I find that people with high work devotion often also experience emotional distance in their personal relationships when their close others don't value their work - a context I call occupational value heterophily. This disconnection-based conflict compounds the time- and trust-based conflict and engenders an emotionally agonizing situation, which I call work-relationship turmoil. Third, when close others do value their partner's work - a context I call occupational value homophily - it fosters an emotional connection and offers an avenue for work-relationship enrichment. These findings draw upon deeply meaningful work to detail the multi-faceted work-relationship experience among those with high work devotion.",173
Rational choices: an ecological approach,THEORY AND DECISION,May 2019,2019,"We address the oft-repeated criticism that the demands which the rational choice approach makes on the knowledge and cognition of a decision-maker (DM) are way beyond the capabilities of typical human intelligence. Our key finding is that it may be possible to arrive at this ideal of rationality by means of cognitively less demanding, heuristic-based ecological reasoning that draws on information about others' choices in the DM's environment. Formally, we propose a choice procedure under which, in any choice problem, the DM, first, uses this information to shortlist a set of alternatives. The DM does this shortlisting by a mental process of categorization, whereby she draws similarities with certain societal membersthe ingroupand distinctions from othersthe outgroupand considers those alternatives that are similar (dissimilar) to ingroup (outgroup) members' choices. Then, she chooses from this shortlisted set by applying her preferences, which may be incomplete owing to limitations of knowledge. We show that, if a certain homophily condition connecting the DM's preferences with her ingroup-outgroup categorization holds, then the procedure never leads the DM to making bad choices. If, in addition, a certain shortlisting consistency condition holds vis-a-vis non-comparable alternatives under the DM's preferences, then the procedure results in rational choices.",199
"I can only be properly myself when I'm with her': Early adolescent intra-ethnic immigrant group friendships as a safe space for identity exploration, negotiation and validation",CHILDHOOD-A GLOBAL JOURNAL OF CHILD RESEARCH,May 2019,2019,"Intra-ethnic adolescent friendships can provide a safe space for the development of a sense of identity and belonging and this study explores the intra-ethnic friendship experiences of fifteen 11- to 12-year olds with non-Irish heritage in Ireland. The incorporation of principles and practices from expressive arts psychotherapy into creative focus groups and journaling within the governing framework of Dahlberg et al.'s reflective lifeworld approach provides different sensory pathways designed to optimise participant expression. Findings indicate that these friendships provide an affirming context for identity exploration, negotiation and enactment, with the journaling activity evoking more personal in-depth disclosures.",97
Understanding the Psycho-Sociological Facets of Homophily in Social Network Communities,IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,May 2019,2019,"Community in social networks is a nebulous concept. A community is generally assumed to be formed by people who possess similar attributes or characteristics, also known as ""homophily"". Although there has been a lot of research on community detection based on network topology, the semantic interpretation of communities is rarely studied. The present work aims to understand the behavioral similarity of users present in their personal neighborhood communities formed by friends, relatives, or colleagues, and addresses two fundamental questions: (i) Are communities firmed by users who possess similar behavioral traits? If so, does this apply to all those sub-networks, i.e., friends, relatives, and colleagues? (ii) Does adding behavioral node-specific attributes/features to the nodes in a network lead to better community detection? To better understand the psycho-sociological homophilic nature of personal networks, the personalities and values of Twitter users were analyzed using the well-established ""Big-5 personality model"" and ""Schwartz sociological behavior model"". Empirical results based on the psychosociological behavior show that friends networks exhibit homophily, whereas relatives and colleagues networks do not exhibit such homophilic behavior. It can also be observed that neurotic people tend to behave heterogeneously with people of various personality traits. In addition, it is shown that such empirical evidence can be used as features for the tasks of community detection and link prediction.",217
